match_id,home_name,away_name,league,match_date,home_goals,away_goals,total_goals,goal_diff,ah_line,fav_side,line_mag,ticks,zone,ou_line,ah_outcome,ah_payout,ah_fav_covered,ou_outcome,ou_payout,ah_open,ah_close,ah_delta,delta_ticks,h2h_stadium_cover,h2h_general_cover,prev_home_shots_diff,prev_home_sot_diff,prev_home_danger_diff,prev_home_attacks_diff,prev_home_wdl,prev_away_shots_diff,prev_away_sot_diff,prev_away_danger_diff,prev_away_attacks_diff,prev_away_wdl,ind_local_localia,ind_local_ah,ind_local_danger_diff,ind_visitante_localia,ind_visitante_ah,ind_visitante_danger_diff,home_rank,away_rank,rank_diff,prev_home_danger_diff_bin,prev_away_danger_diff_bin,ind_local_danger_diff_bin,ind_visitante_danger_diff_bin,ticks_bin,delta_bin
2673264,Mekelakeya,Sidama Bunna,Ethiopia Premier League,9/28/2024,1,2,3,-1,0.75,HOME,0.75,3,MUST_WIN,2.25,HL,-0.5,-1,OVER_W,1.0,0.5,0.75,0.25,1,COVER,COVER,3,2,-6,-1,W,7,0,45,24,L,H,0.0,-19,H,0.25,-16,99,99,0,neg,muy_pos,neg,neg,mid,rise
2673269,Dire Dawa,Wolaita Dicha,Ethiopia Premier League,9/28/2024,4,1,5,3,0.0,HOME,0.0,0,PICK_EM,2.0,W,1.0,1,OVER_W,1.0,0.25,0.0,-0.25,-1,PUSH,PUSH,3,0,-1,0,D,2,2,0,0,W,,,0,A,0.0,-9,99,99,0,neutro,neutro,neutro,neg,low,drop
2673831,Kedus Giorgis,Mekelle 70 Enderta FC,Ethiopia Premier League,9/30/2024,0,1,1,-1,0.75,HOME,0.75,3,MUST_WIN,2.25,HL,-0.5,-1,UNDER_W,1.0,0.75,0.75,0.0,0,,,0,0,25,19,W,-6,-4,-18,-15,D,H,0.25,2,,,0,99,99,0,muy_pos,neg,neutro,neutro,mid,drop
2674582,Fasil Kenema,Shire Endaselassie FC,Ethiopia Premier League,10/1/2024,0,0,0,0,0.25,HOME,0.25,1,PICK_EM,2.0,HW,0.5,1,UNDER_W,1.0,0.5,0.25,-0.25,-1,COVER,COVER,6,4,18,15,D,-5,1,-15,-17,D,H,0.5,0,,,0,99,99,0,pos,neg,neutro,neutro,low,drop
2674707,Ethiopia Bunna,Hawassa City FC,Ethiopia Premier League,10/2/2024,3,1,4,2,0.5,HOME,0.5,2,MUST_WIN,2.0,W,1.0,1,OVER_W,1.0,0.5,0.5,0.0,0,COVER,COVER,2,1,21,12,D,1,1,-19,-37,W,H,0.5,2,,,0,99,99,0,muy_pos,neg,neutro,neutro,low,drop
2674581,Bahir Dar Kenema FC,Hadiya Hossana,Ethiopia Premier League,10/1/2024,2,0,2,2,0.25,HOME,0.25,1,PICK_EM,1.75,W,1.0,1,OVER_HW,0.5,0.0,0.25,0.25,1,COVER,COVER,-1,-3,9,33,L,2,-1,13,-25,D,H,0.0,-24,H,0.25,-31,99,99,0,pos,pos,muy_neg,muy_neg,low,rise
2673834,Ethiopian Insurance FC,Ethio Electric FC,Ethiopia Premier League,9/30/2024,0,0,0,0,0.25,HOME,0.25,1,PICK_EM,2.25,HW,0.5,1,UNDER_W,1.0,0.25,0.25,0.0,0,COVER,COVER,8,2,-1,-8,D,-2,-1,-21,-12,D,A,0.25,-25,A,1.0,-37,99,99,0,neutro,muy_neg,muy_neg,muy_neg,low,drop
2674705,Mekelakeya,Wolaita Dicha,Ethiopia Premier League,10/2/2024,3,1,4,2,0.5,HOME,0.5,2,MUST_WIN,2.0,W,1.0,1,OVER_W,1.0,0.5,0.5,0.0,0,COVER,COVER,-1,-3,2,9,L,2,-2,24,12,L,A,-0.5,10,A,0.0,-16,99,99,0,neutro,muy_pos,pos,neg,low,drop
2680718,Mekelle 70 Enderta FC,Mekelakeya,Ethiopia Premier League,10/19/2024,1,1,2,0,-0.5,AWAY,0.5,2,MUST_WIN,2.25,L,-1.0,-1,UNDER_HW,0.5,-0.5,-0.5,0.0,0,,,0,0,0,0,L,3,3,0,0,W,,,0,,,0,99,99,0,neutro,neutro,neutro,neutro,low,drop
2674790,Ethiopia Nigd Bank,Arba Minch,Ethiopia Premier League,10/3/2024,3,1,4,2,0.75,HOME,0.75,3,MUST_WIN,2.75,W,1.0,1,OVER_W,1.0,0.5,0.75,0.25,1,COVER,COVER,7,4,13,25,D,-8,-2,1,8,D,,,0,A,0.75,-8,99,99,0,pos,neutro,neutro,neg,mid,rise
